2022-04-25 14:34:02.982 UTC [21] LOG:  database system was shut down at 2022-04-19 15:02:23 UTC
2022-04-25 14:40:03.686 UTC [41] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-04-25 14:40:03.692 UTC [41] LOG:  execute pdo_stmt_00000003: SELECT "countries"."id", "countries"."name", "countries"."short_name", "countries"."created_at", "countries"."updated_at" FROM "public"."countries"
2022-04-25 14:40:03.713 UTC [41] LOG:  statement: DEALLOCATE pdo_stmt_00000003
2022-04-25 14:40:31.810 UTC [42] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='countries'
2022-04-25 14:40:31.811 UTC [42] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-04-25 14:40:31.842 UTC [42] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='countries' ORDER BY c.ordinal_position
2022-04-25 14:40:31.845 UTC [42] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-04-25 14:40:31.846 UTC [42] LOG:  execute pdo_stmt_00000003: INSERT INTO "public"."countries" ("name", "short_name", "created_at", "updated_at", "id") VALUES ($1, $2, DEFAULT, DEFAULT, DEFAULT)
2022-04-25 14:40:31.846 UTC [42] DETAIL:  parameters: $1 = 'Portugal', $2 = 'PO'
2022-04-25 14:40:31.855 UTC [42] LOG:  statement: DEALLOCATE pdo_stmt_00000003
2022-04-25 14:40:31.859 UTC [42] LOG:  execute <unnamed>: SELECT CURRVAL($1)
2022-04-25 14:40:31.859 UTC [42] DETAIL:  parameters: $1 = 'countries_id_seq'
2022-04-25 14:40:34.317 UTC [44] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='countries'
2022-04-25 14:40:34.318 UTC [44] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-04-25 14:40:34.349 UTC [44] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='countries' ORDER BY c.ordinal_position
2022-04-25 14:40:34.354 UTC [44] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-04-25 14:40:34.359 UTC [44] LOG:  execute pdo_stmt_00000003: SELECT "countries"."id", "countries"."name", "countries"."short_name", "countries"."created_at", "countries"."updated_at" FROM "public"."countries"
2022-04-25 14:40:34.366 UTC [44] LOG:  statement: DEALLOCATE pdo_stmt_00000003
2022-04-25 14:41:04.829 UTC [46] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='countries'
2022-04-25 14:41:04.830 UTC [46] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-04-25 14:41:04.855 UTC [46] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='countries' ORDER BY c.ordinal_position
2022-04-25 14:41:04.857 UTC [46] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-04-25 14:41:04.862 UTC [46] LOG:  execute pdo_stmt_00000003: SELECT "countries"."id", "countries"."name", "countries"."short_name", "countries"."created_at", "countries"."updated_at" FROM "public"."countries"
2022-04-25 14:41:04.873 UTC [46] LOG:  statement: DEALLOCATE pdo_stmt_00000003
2022-04-25 14:41:06.753 UTC [47] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='countries'
2022-04-25 14:41:06.753 UTC [47] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-04-25 14:41:06.781 UTC [47] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='countries' ORDER BY c.ordinal_position
2022-04-25 14:41:06.783 UTC [47] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-04-25 14:41:06.787 UTC [47] LOG:  execute pdo_stmt_00000003: SELECT "countries"."id", "countries"."name", "countries"."short_name", "countries"."created_at", "countries"."updated_at" FROM "public"."countries"
2022-04-25 14:41:06.793 UTC [47] LOG:  statement: DEALLOCATE pdo_stmt_00000003
2022-04-25 14:41:33.616 UTC [25] WARNING:  could not open statistics file "pg_stat_tmp/global.stat": Operation not permitted
2022-04-25 14:42:37.764 UTC [51] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='countries'
2022-04-25 14:42:37.765 UTC [51] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-04-25 14:42:37.801 UTC [51] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='countries' ORDER BY c.ordinal_position
2022-04-25 14:42:37.806 UTC [51] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-04-25 14:42:37.807 UTC [51] LOG:  execute pdo_stmt_00000003: INSERT INTO "public"."countries" ("name", "short_name", "created_at", "updated_at", "id") VALUES ($1, $2, DEFAULT, DEFAULT, DEFAULT)
2022-04-25 14:42:37.807 UTC [51] DETAIL:  parameters: $1 = 'Italie', $2 = 'IT'
2022-04-25 14:42:37.811 UTC [51] LOG:  statement: DEALLOCATE pdo_stmt_00000003
2022-04-25 14:42:37.812 UTC [51] LOG:  execute <unnamed>: SELECT CURRVAL($1)
2022-04-25 14:42:37.812 UTC [51] DETAIL:  parameters: $1 = 'countries_id_seq'
2022-04-25 14:42:39.521 UTC [52] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='countries'
2022-04-25 14:42:39.523 UTC [52] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-04-25 14:42:39.568 UTC [52] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='countries' ORDER BY c.ordinal_position
2022-04-25 14:42:39.572 UTC [52] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-04-25 14:42:39.580 UTC [52] LOG:  execute pdo_stmt_00000003: SELECT "countries"."id", "countries"."name", "countries"."short_name", "countries"."created_at", "countries"."updated_at" FROM "public"."countries"
2022-04-25 14:42:39.587 UTC [52] LOG:  statement: DEALLOCATE pdo_stmt_00000003
2022-04-25 14:44:48.934 UTC [57] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='countries'
2022-04-25 14:44:48.935 UTC [57] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-04-25 14:44:48.962 UTC [57] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='countries' ORDER BY c.ordinal_position
2022-04-25 14:44:48.965 UTC [57] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-04-25 14:44:48.971 UTC [57] LOG:  execute pdo_stmt_00000003: SELECT "countries"."id", "countries"."name", "countries"."short_name", "countries"."created_at", "countries"."updated_at" FROM "public"."countries"
2022-04-25 14:44:48.975 UTC [57] LOG:  statement: DEALLOCATE pdo_stmt_00000003
2022-04-25 14:45:01.281 UTC [58] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='countries'
2022-04-25 14:45:01.281 UTC [58] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-04-25 14:45:01.319 UTC [58] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='countries' ORDER BY c.ordinal_position
2022-04-25 14:45:01.339 UTC [58] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-04-25 14:45:01.340 UTC [58] LOG:  execute pdo_stmt_00000003: INSERT INTO "public"."countries" ("name", "short_name", "created_at", "updated_at", "id") VALUES ($1, $2, DEFAULT, DEFAULT, DEFAULT)
2022-04-25 14:45:01.340 UTC [58] DETAIL:  parameters: $1 = 'Pologne', $2 = 'PL'
2022-04-25 14:45:01.346 UTC [58] LOG:  statement: DEALLOCATE pdo_stmt_00000003
2022-04-25 14:45:01.347 UTC [58] LOG:  execute <unnamed>: SELECT CURRVAL($1)
2022-04-25 14:45:01.347 UTC [58] DETAIL:  parameters: $1 = 'countries_id_seq'
2022-04-25 14:45:03.604 UTC [60] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='countries'
2022-04-25 14:45:03.605 UTC [60] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-04-25 14:45:03.637 UTC [60] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='countries' ORDER BY c.ordinal_position
2022-04-25 14:45:03.641 UTC [60] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-04-25 14:45:03.646 UTC [60] LOG:  execute pdo_stmt_00000003: SELECT "countries"."id", "countries"."name", "countries"."short_name", "countries"."created_at", "countries"."updated_at" FROM "public"."countries"
2022-04-25 14:45:03.651 UTC [60] LOG:  statement: DEALLOCATE pdo_stmt_00000003
2022-04-25 14:45:48.510 UTC [62] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='countries'
2022-04-25 14:45:48.510 UTC [62] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-04-25 14:45:48.536 UTC [62] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='countries' ORDER BY c.ordinal_position
2022-04-25 14:45:48.539 UTC [62] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-04-25 14:45:48.543 UTC [62] LOG:  execute pdo_stmt_00000003: SELECT "countries"."id", "countries"."name", "countries"."short_name", "countries"."created_at", "countries"."updated_at" FROM "public"."countries"
2022-04-25 14:45:48.549 UTC [62] LOG:  statement: DEALLOCATE pdo_stmt_00000003
2022-04-25 14:45:54.213 UTC [63] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='countries'
2022-04-25 14:45:54.213 UTC [63] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-04-25 14:45:54.254 UTC [63] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='countries' ORDER BY c.ordinal_position
2022-04-25 14:45:54.258 UTC [63] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-04-25 14:45:54.259 UTC [63] LOG:  execute pdo_stmt_00000003: INSERT INTO "public"."countries" ("name", "short_name", "created_at", "updated_at", "id") VALUES ($1, $2, DEFAULT, DEFAULT, DEFAULT)
2022-04-25 14:45:54.259 UTC [63] DETAIL:  parameters: $1 = 'Russie', $2 = 'RU'
2022-04-25 14:45:54.263 UTC [63] LOG:  statement: DEALLOCATE pdo_stmt_00000003
2022-04-25 14:45:54.264 UTC [63] LOG:  execute <unnamed>: SELECT CURRVAL($1)
2022-04-25 14:45:54.264 UTC [63] DETAIL:  parameters: $1 = 'countries_id_seq'
2022-04-25 14:45:56.060 UTC [64] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='countries'
2022-04-25 14:45:56.060 UTC [64] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-04-25 14:45:56.090 UTC [64] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='countries' ORDER BY c.ordinal_position
2022-04-25 14:45:56.092 UTC [64] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-04-25 14:45:56.096 UTC [64] LOG:  execute pdo_stmt_00000003: SELECT "countries"."id", "countries"."name", "countries"."short_name", "countries"."created_at", "countries"."updated_at" FROM "public"."countries"
2022-04-25 14:45:56.103 UTC [64] LOG:  statement: DEALLOCATE pdo_stmt_00000003
2022-04-25 14:47:03.596 UTC [25] WARNING:  could not open statistics file "pg_stat_tmp/global.stat": Operation not permitted
2022-04-25 14:51:35.005 UTC [77] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='countries'
2022-04-25 14:51:35.006 UTC [77] LOG:  statement: DEALLOCATE pdo_stmt_00000001
2022-04-25 14:51:35.038 UTC [77] LOG:  execute pdo_stmt_00000002: SELECT DISTINCT c.column_name AS Field, c.data_type AS Type, c.character_maximum_length AS Size, c.numeric_precision AS NumericSize, c.numeric_scale AS NumericScale, c.is_nullable AS Null, CASE WHEN pkc.column_name NOTNULL THEN 'PRI' ELSE '' END AS Key, CASE WHEN c.data_type LIKE '%int%' AND c.column_default LIKE '%nextval%' THEN 'auto_increment' ELSE '' END AS Extra, c.ordinal_position AS Position, c.column_default FROM information_schema.columns c LEFT JOIN ( SELECT kcu.column_name, kcu.table_name, kcu.table_schema FROM information_schema.table_constraints tc INNER JOIN information_schema.key_column_usage kcu on (kcu.constraint_name = tc.constraint_name and kcu.table_name=tc.table_name and kcu.table_schema=tc.table_schema) WHERE tc.constraint_type='PRIMARY KEY') pkc ON (c.column_name=pkc.column_name AND c.table_schema = pkc.table_schema AND c.table_name=pkc.table_name) WHERE c.table_schema='public' AND c.table_name='countries' ORDER BY c.ordinal_position
2022-04-25 14:51:35.040 UTC [77] LOG:  statement: DEALLOCATE pdo_stmt_00000002
2022-04-25 14:51:35.049 UTC [77] LOG:  execute pdo_stmt_00000003: SELECT "countries"."id", "countries"."name", "countries"."short_name", "countries"."created_at", "countries"."updated_at" FROM "public"."countries"
2022-04-25 14:51:35.054 UTC [77] LOG:  statement: DEALLOCATE pdo_stmt_00000003
2022-04-25 14:51:42.341 UTC [78] LOG:  execute pdo_stmt_00000001: SELECT CASE WHEN COUNT(*) > 0 THEN 1 ELSE 0 END FROM information_schema.tables WHERE table_schema = 'public' AND table_name='countries'
2022-04-25 14:51:42.341 UTC [78] LOG:  statement: DEALLOCATE pdo_stmt_00000001
